cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368295,ESS8e02_2,8,2.2,80,0.476132035255432,1.2758195400238,4.985758313,6.36092787756152,4,2,1,1,1,,5,7,4,4,3,77,4,4,8,2,,66,2,2,3,12,66,1,2,6,9,7
RU,ESS1-9e01,1.0,10.12.2020,368296,ESS8e02_2,8,2.2,81,0.476132035255432,1.30158638954163,4.985758313,6.48939516174482,3,2,3,3,2,,6,9,5,6,5,6,7,5,5,2,,66,1,8,3,12,66,6,66,6,88,8
RU,ESS1-9e01,1.0,10.12.2020,368297,ESS8e02_2,8,2.2,82,1.4283961057663,0.575858116149902,4.985758313,2.87108938970289,2,3,3,2,3,,8,5,3,7,88,88,8,7,4,2,,66,1,10,5,11,66,1,3,6,6,2
RU,ESS1-9e01,1.0,10.12.2020,368298,ESS8e02_2,8,2.2,92,1.90452814102173,4.00043392181396,4.985758313,19.9451966812912,2,3,3,2,2,,5,5,5,5,5,8,8,3,4,4,,66,1,5,3,12,66,6,66,7,1,3
RU,ESS1-9e01,1.0,10.12.2020,368299,ESS8e02_2,8,2.2,93,0.952264070510864,0.496314823627472,4.985758313,2.4745057577658,1,3,5,2,3,,5,7,4,2,6,2,6,6,1,2,,66,1,9,5,15,66,1,4,6,9,3
RU,ESS1-9e01,1.0,10.12.2020,368300,ESS8e02_2,8,2.2,94,0.952264070510864,2.60317277908325,4.985758313,12.9787903234896,2,3,2,2,3,,1,1,2,2,5,2,1,1,3,2,,66,1,4,3,12,66,6,66,6,6,2
RU,ESS1-9e01,1.0,10.12.2020,368301,ESS8e02_2,8,2.2,95,1.90452814102173,1.4935040473938,4.985758313,7.44625021979278,4,3,1,1,1,,5,5,88,2,5,5,7,3,88,5,,66,2,8,5,13,66,2,10,1,10,2
RU,ESS1-9e01,1.0,10.12.2020,368302,ESS8e02_2,8,2.2,96,1.4283961057663,0.575858116149902,4.985758313,2.87108938970289,2,3,2,3,2,,7,4,3,3,5,3,4,3,4,4,,1,1,9,5,16,66,1,3,2,10,2
RU,ESS1-9e01,1.0,10.12.2020,368303,ESS8e02_2,8,2.2,105,0.952264070510864,1.68179357051849,4.985758313,8.38501627496253,3,2,1,1,1,,88,9,9,9,88,10,10,10,8,2,,66,1,7,3,13,66,1,0,6,6,3
RU,ESS1-9e01,1.0,10.12.2020,368304,ESS8e02_2,8,2.2,106,1.90452814102173,0.566986083984375,4.985758313,2.82685558158041,2,3,1,1,1,,5,5,5,5,5,88,0,3,0,5,,1,1,8,5,14,66,1,5,2,10,4
RU,ESS1-9e01,1.0,10.12.2020,368305,ESS8e02_2,8,2.2,107,1.4283961057663,0.575858116149902,4.985758313,2.87108938970289,2,2,1,1,2,,3,6,3,3,88,3,3,4,0,2,,6,1,7,5,18,66,1,6,6,77,2
RU,ESS1-9e01,1.0,10.12.2020,368306,ESS8e02_2,8,2.2,108,0.952264070510864,1.80879104137421,4.985758313,9.01819497101138,2,2,1,1,1,,5,6,6,7,5,8,4,3,6,2,,1,1,3,2,10,66,1,0,6,2,4
RU,ESS1-9e01,1.0,10.12.2020,368307,ESS8e02_2,8,2.2,109,1.90452814102173,0.566986083984375,4.985758313,2.82685558158041,2,1,1,1,1,,6,6,6,7,88,4,4,4,3,2,,13,1,9,5,16,8,6,66,6,10,1
RU,ESS1-9e01,1.0,10.12.2020,368308,ESS8e02_2,8,2.2,118,0.476132035255432,0.141746520996094,4.985758313,0.706713895395103,2,3,2,1,2,,4,6,5,5,88,1,6,5,4,2,,66,1,10,5,11,66,1,5,6,77,2
RU,ESS1-9e01,1.0,10.12.2020,368309,ESS8e02_2,8,2.2,119,1.4283961057663,2.52268958091736,4.985758313,12.5775205491772,2,2,3,3,3,,9,6,6,6,5,6,6,88,6,3,,1,1,9,3,11,66,1,2,6,9,1
RU,ESS1-9e01,1.0,10.12.2020,368310,ESS8e02_2,8,2.2,120,0.476132035255432,0.191952660679817,4.985758313,0.957029573686867,2,3,3,3,3,,5,5,88,3,88,0,3,4,5,2,,66,1,10,5,12,66,1,1,2,6,3
RU,ESS1-9e01,1.0,10.12.2020,368311,ESS8e02_2,8,2.2,121,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,2,3,3,3,3,,8,5,5,5,88,2,6,5,6,3,,1,1,8,5,16,66,1,7,6,8,3
RU,ESS1-9e01,1.0,10.12.2020,368312,ESS8e02_2,8,2.2,122,0.952264070510864,4.00043392181396,4.985758313,19.9451966812912,2,2,4,2,2,,3,88,0,2,88,3,4,3,5,2,,66,2,6,3,11,66,1,0,1,4,3
RU,ESS1-9e01,1.0,10.12.2020,368313,ESS8e02_2,8,2.2,123,0.476132035255432,0.141746520996094,4.985758313,0.706713895395103,3,2,2,2,2,,9,6,3,3,5,3,6,6,6,2,,66,1,9,5,15,66,1,2,6,4,2
RU,ESS1-9e01,1.0,10.12.2020,368314,ESS8e02_2,8,2.2,131,0.952264070510864,0.496314823627472,4.985758313,2.4745057577658,1,3,5,3,4,,4,6,4,3,5,3,7,7,2,1,,66,1,8,5,17,66,1,3,1,77,3
RU,ESS1-9e01,1.0,10.12.2020,368315,ESS8e02_2,8,2.2,132,0.476132035255432,0.141746520996094,4.985758313,0.706713895395103,3,1,3,3,1,,3,0,3,4,5,2,3,0,0,1,,8,1,8,5,15,66,6,66,6,3,4
RU,ESS1-9e01,1.0,10.12.2020,368316,ESS8e02_2,8,2.2,133,0.476132035255432,1.2758195400238,4.985758313,6.36092787756152,3,1,1,2,2,,1,3,0,0,5,0,0,0,0,1,,66,1,1,3,11,66,1,2,6,88,8
RU,ESS1-9e01,1.0,10.12.2020,368317,ESS8e02_2,8,2.2,134,0.476132035255432,0.236090049147606,4.985758313,1.17708792515425,4,1,1,2,1,,5,4,4,5,5,4,6,4,6,4,,66,2,4,5,13,66,1,2,1,6,2
